X,Y,Z,Amp,Tof
-0.66,-0.2,0,18.3111,23.296
-0.65,-0.2,0,18.8971,23.152
-0.64,-0.2,0,18.4088,22.944
-0.63,-0.2,0,19.4098,22.8
-0.62,-0.2,0,18.0914,22.656
-0.61,-0.2,0,18.2867,22.432
-0.6,-0.2,0,17.9754,22.288
-0.59,-0.2,0,18.3233,22.128
-0.58,-0.2,0,18.421,21.936
-0.57,-0.2,0,18.1402,21.76
-0.56,-0.2,0,18.8543,21.6
-0.55,-0.2,0,18.2989,21.424
-0.54,-0.2,0,18.0914,21.264
-0.53,-0.2,0,18.6773,21.056
-0.52,-0.2,0,17.9998,20.928
-0.51,-0.2,0,17.7679,20.736
-0.5,-0.2,0,18.5614,20.544
-0.49,-0.2,0,17.6702,20.368
-0.48,-0.2,0,17.2124,20.256
-0.47,-0.2,0,17.89,20.032
-0.46,-0.2,0,17.7618,19.888
-0.45,-0.2,0,17.6763,19.68
-0.44,-0.2,0,17.2918,19.552
-0.43,-0.2,0,17.7862,19.36
-0.42,-0.2,0,17.3589,19.248
-0.41,-0.2,0,17.0476,19.04
-0.4,-0.2,0,18.0914,18.928
-0.39,-0.2,0,18.0486,18.816
-0.38,-0.2,0,17.5054,18.512
-0.37,-0.2,0,17.9571,18.368
-0.36,-0.2,0,17.7984,18.176
-0.35,-0.2,0,17.6885,18.016
-0.34,-0.2,0,17.4871,17.84
-0.33,-0.2,0,17.3345,17.664
-0.32,-0.2,0,17.6031,17.552
-0.31,-0.2,0,17.066,17.296
-0.3,-0.2,0,17.066,17.152
-0.29,-0.2,0,17.2613,16.976
-0.28,-0.2,0,16.6509,16.832
-0.27,-0.2,0,16.7791,16.624
-0.26,-0.2,0,17.3956,16.544
-0.25,-0.2,0,16.7608,16.304
-0.24,-0.2,0,16.6997,16.144
-0.23,-0.2,0,16.3335,15.984
-0.22,-0.2,0,16.3396,15.776
-0.21,-0.2,0,16.7241,15.616
-0.2,-0.2,0,16.3213,15.552
-0.19,-0.2,0,17.4871,15.296
-0.18,-0.2,0,17.0232,15.104
-0.17,-0.2,0,16.3518,15.056
-0.16,-0.2,0,16.8218,14.752
-0.15,-0.2,0,17.4383,14.608
-0.14,-0.2,0,16.6875,14.416
-0.13,-0.2,0,16.3213,14.224
-0.12,-0.2,0,16.2969,14.112
-0.11,-0.2,0,15.8452,13.952
-0.1,-0.2,0,15.9368,13.728
-0.09,-0.2,0,16.1199,13.568
-0.08,-0.2,0,16.2969,13.392
-0.07,-0.2,0,15.9734,13.248
-0.06,-0.2,0,16.1016,13.104
-0.05,-0.2,0,17.1819,12.944
-0.04,-0.2,0,16.0894,12.8
-0.03,-0.2,0,15.0334,12.56
-0.02,-0.2,0,15.3935,12.384
-0.01,-0.2,0,15.3935,12.224
0,-0.2,0,15.4607,12.016
0.01,-0.2,0,15.6621,11.968
0.02,-0.2,0,16.3152,11.792
0.03,-0.2,0,14.6428,11.536
0.04,-0.2,0,15.1006,11.424
0.05,-0.2,0,15.4729,11.168
0.06,-0.2,0,15.2654,11.04
0.07,-0.2,0,15.6194,10.848
0.08,-0.2,0,14.7954,10.688
0.09,-0.2,0,14.8381,10.544
0.1,-0.2,0,14.9663,10.48
0.11,-0.2,0,14.4597,10.16
0.12,-0.2,0,14.6367,10.016
0.13,-0.2,0,14.185,9.824
0.14,-0.2,0,14.2949,9.648
0.15,-0.2,0,13.6723,9.504
0.16,-0.2,0,14.1423,9.328
0.17,-0.2,0,13.8005,9.136
0.18,-0.2,0,14.4658,9.008
0.19,-0.2,0,14.2399,8.832
0.2,-0.2,0,13.1291,8.64
0.21,-0.2,0,13.3122,8.496
0.22,-0.2,0,12.6957,8.32
0.23,-0.2,0,13.3366,8.24
0.24,-0.2,0,12.598,7.92
0.25,-0.2,0,12.067,7.776
0.26,-0.2,0,12.6713,7.68
0.27,-0.2,0,11.8412,7.456
0.28,-0.2,0,11.4933,7.312
0.29,-0.2,0,10.95,7.152
0.3,-0.2,0,12.1464,7.04
0.31,-0.2,0,11.3407,6.752
0.32,-0.2,0,9.99176,6.64
0.33,-0.2,0,10.6693,6.448
0.34,-0.2,0,9.68657,6.288
0.35,-0.2,0,10.9134,6.128
0.36,-0.2,0,9.80255,5.984
0.37,-0.2,0,9.24711,5.856
0.38,-0.2,0,8.55129,5.712
0.39,-0.2,0,8.27052,5.424
0.4,-0.2,0,7.87988,5.28
0.41,-0.2,0,8.64895,5.104
0.42,-0.2,0,7.34275,7.792
0.43,-0.2,0,6.72018,4.608
0.44,-0.2,0,6.64083,4.48
0.45,-0.2,0,6.67745,7.456
0.46,-0.2,0,5.66424,7.36
0.47,-0.2,0,6.1037,6.8
0.48,-0.2,0,6.2624,7.104
0.49,-0.2,0,5.34074,7.136
0.5,-0.2,0,5.95721,6.912
0.51,-0.2,0,4.18104,34.704
0.52,-0.2,0,3.40587,46.512
0.53,-0.2,0,3.66222,45.52
0.54,-0.2,0,3.74767,40.864
0.55,-0.2,0,4.07727,26.224
0.56,-0.2,0,4.26038,10.736
0.57,-0.2,0,4.2848,6.096
0.58,-0.2,0,4.1261,2.72
0.59,-0.2,0,4.30311,8.832
0.6,-0.2,0,3.60729,43.984
0.61,-0.2,0,4.05286,30.064
0.62,-0.2,0,3.43028,2.096
0.63,-0.2,0,4.01013,37.84
0.64,-0.2,0,4.49232,14.592
0.64,-0.19,0,5.15763,13.728
0.63,-0.19,0,4.99893,2.144
0.62,-0.19,0,3.97961,28.896
0.61,-0.19,0,4.34584,38.832
0.6,-0.19,0,4.42518,2.48
0.59,-0.19,0,4.66323,30.016
0.58,-0.19,0,4.03455,32.208
0.57,-0.19,0,4.24207,35.984
0.56,-0.19,0,3.57067,5.936
0.55,-0.19,0,3.82092,7.52
0.54,-0.19,0,3.89416,2.8
0.53,-0.19,0,3.91858,3.456
0.52,-0.19,0,5.87786,6.656
0.51,-0.19,0,5.35905,3.344
0.5,-0.19,0,5.15152,33.152
0.49,-0.19,0,6.55538,6.944
0.48,-0.19,0,6.62252,7.072
0.47,-0.19,0,7.28782,4.032
0.46,-0.19,0,6.81784,6.928
0.45,-0.19,0,7.45872,4.544
0.44,-0.19,0,8.63674,4.624
0.43,-0.19,0,8.03247,4.848
0.42,-0.19,0,8.92972,5.04
0.41,-0.19,0,9.08841,5.216
0.4,-0.19,0,10.2786,5.376
0.39,-0.19,0,9.84527,5.488
0.38,-0.19,0,10.7913,5.696
0.37,-0.19,0,10.1871,5.888
0.36,-0.19,0,11.2125,6.032
0.35,-0.19,0,11.5909,6.192
0.34,-0.19,0,12.3417,6.352
0.33,-0.19,0,11.5299,6.496
0.32,-0.19,0,12.7201,6.64
0.31,-0.19,0,12.7018,6.88
0.3,-0.19,0,12.2379,7.008
0.29,-0.19,0,14.008,7.152
0.28,-0.19,0,13.4098,7.36
0.27,-0.19,0,13.5258,7.536
0.26,-0.19,0,13.8615,7.664
0.25,-0.19,0,14.008,7.856
0.24,-0.19,0,15.0151,8.048
0.23,-0.19,0,14.6428,8.144
0.22,-0.19,0,14.478,8.32
0.21,-0.19,0,15.3569,8.56
0.2,-0.19,0,14.1606,8.672
0.19,-0.19,0,15.5583,8.912
0.18,-0.19,0,15.125,9.04
0.17,-0.19,0,15.5461,9.216
0.16,-0.19,0,15.247,9.408
0.15,-0.19,0,15.6316,9.6
0.14,-0.19,0,17.0598,9.712
0.13,-0.19,0,16.0527,9.904
0.12,-0.19,0,15.2837,10.016
0.11,-0.19,0,16.2297,10.256
0.1,-0.19,0,17.1575,10.384
0.09,-0.19,0,17.0232,10.528
0.08,-0.19,0,16.1138,10.752
0.07,-0.19,0,17.0965,10.944
0.06,-0.19,0,16.596,11.088
0.05,-0.19,0,16.9683,11.28
0.04,-0.19,0,17.481,11.44
0.03,-0.19,0,17.1636,11.6
0.02,-0.19,0,16.9195,11.728
0.01,-0.19,0,16.6204,11.968
0,-0.19,0,17.3345,12.128
-0.01,-0.19,0,17.8594,12.24
-0.02,-0.19,0,18.8971,12.464
-0.03,-0.19,0,17.3101,12.624
-0.04,-0.19,0,17.066,12.784
-0.05,-0.19,0,18.6895,12.976
-0.06,-0.19,0,18.189,13.104
-0.07,-0.19,0,17.9693,13.296
-0.08,-0.19,0,17.8838,13.472
-0.09,-0.19,0,17.9571,13.632
-0.1,-0.19,0,18.5064,13.808
-0.11,-0.19,0,18.1402,13.984
-0.12,-0.19,0,17.2613,14.128
-0.13,-0.19,0,18.4515,14.304
-0.14,-0.19,0,17.7618,14.432
-0.15,-0.19,0,17.8777,14.672
-0.16,-0.19,0,17.835,14.832
-0.17,-0.19,0,17.6336,14.912
-0.18,-0.19,0,18.4881,15.152
-0.19,-0.19,0,18.5797,15.328
-0.2,-0.19,0,19.0069,15.504
-0.21,-0.19,0,18.2196,15.616
-0.22,-0.19,0,18.2989,15.856
-0.23,-0.19,0,18.2012,16.016
-0.24,-0.19,0,18.891,16.192
-0.25,-0.19,0,18.012,16.352
-0.26,-0.19,0,18.2867,16.496
-0.27,-0.19,0,18.8604,16.736
-0.28,-0.19,0,18.2745,16.8
-0.29,-0.19,0,18.4881,17.072
-0.3,-0.19,0,17.9022,17.152
-0.31,-0.19,0,18.5736,17.392
-0.32,-0.19,0,18.4393,17.536
-0.33,-0.19,0,18.9093,17.712
-0.34,-0.19,0,19.068,17.92
-0.35,-0.19,0,18.3538,18
-0.36,-0.19,0,18.8421,18.192
-0.37,-0.19,0,19.5074,18.368
-0.38,-0.19,0,18.2257,18.576
-0.39,-0.19,0,18.6712,18.736
-0.4,-0.19,0,18.5003,18.912
-0.41,-0.19,0,18.5675,19.104
-0.42,-0.19,0,18.543,19.248
-0.43,-0.19,0,20.191,19.44
-0.44,-0.19,0,19.6356,19.568
-0.45,-0.19,0,19.367,19.696
-0.46,-0.19,0,20.0751,19.952
-0.47,-0.19,0,19.5135,20.096
-0.48,-0.19,0,19.3121,20.288
-0.49,-0.19,0,20.0385,20.464
-0.5,-0.19,0,19.0191,20.656
-0.51,-0.19,0,19.8004,20.784
-0.52,-0.19,0,19.1595,21.024
-0.53,-0.19,0,19.7943,21.152
-0.54,-0.19,0,19.4342,21.312
-0.55,-0.19,0,19.9164,21.472
-0.56,-0.19,0,19.6783,21.616
-0.57,-0.19,0,19.0863,21.84
-0.58,-0.19,0,19.6844,22.032
-0.59,-0.19,0,19.6112,22.176
-0.6,-0.19,0,20.0201,22.336
-0.61,-0.19,0,19.0252,22.512
-0.62,-0.19,0,20.1178,22.688
-0.63,-0.19,0,21.3141,22.864
-0.64,-0.19,0,19.7089,23.024
-0.65,-0.19,0,20.0323,23.2
-0.66,-0.19,0,20.0201,23.376
-0.67,-0.19,0,20.3009,23.52
-0.68,-0.19,0,20.3864,23.68
-0.69,-0.19,0,19.7211,23.792
-0.7,-0.19,0,19.9164,24.048
-0.71,-0.19,0,20.9235,24.192
-0.72,-0.19,0,20.307,24.352
-0.73,-0.19,0,18.5858,24.576
-0.74,-0.19,0,20.7465,24.736
-0.75,-0.19,0,19.7211,24.832
-0.76,-0.19,0,19.8798,25.072
-0.77,-0.19,0,19.6844,25.248
-0.78,-0.19,0,19.599,25.424
-0.79,-0.19,0,20.1605,25.584
-0.8,-0.19,0,20.2399,25.76
-0.81,-0.19,0,21.4545,25.92
-0.82,-0.19,0,19.9774,26.112
-0.83,-0.19,0,20.3986,26.288
-0.84,-0.19,0,20.954,26.416
-0.85,-0.19,0,20.1666,26.624
-0.86,-0.19,0,20.4535,26.752
-0.87,-0.19,0,20.4108,26.96
-0.88,-0.19,0,20.3925,27.104
-0.89,-0.19,0,20.6732,27.264
-0.9,-0.19,0,21.1371,27.472
-0.91,-0.19,0,20.4596,27.568
-0.92,-0.19,0,19.8309,27.792
-0.93,-0.19,0,21.1005,27.952
-0.94,-0.19,0,19.9347,28.08
-0.95,-0.19,0,20.5634,28.32
-0.96,-0.19,0,19.7699,28.48
-0.97,-0.19,0,20.4901,28.624
-0.98,-0.19,0,19.0985,28.832
-0.99,-0.19,0,21.0089,29.008
-1,-0.19,0,20.0018,29.152
-1.01,-0.19,0,20.4779,29.36
-1.02,-0.19,0,19.6356,29.536
-1.03,-0.19,0,19.892,29.6
-1.04,-0.19,0,20.5329,29.84
-1.05,-0.19,0,20.0873,30.032
-1.06,-0.19,0,19.9469,30.16
-1.07,-0.19,0,20.0934,30.384
-1.08,-0.19,0,20.307,30.528
-1.09,-0.19,0,20.4474,30.704
-1.1,-0.19,0,20.1971,30.88
-1.11,-0.19,0,19.9408,31.008
-1.12,-0.19,0,20.423,31.232
-1.13,-0.19,0,19.7394,31.392
-1.14,-0.19,0,20.6793,31.568
-1.15,-0.19,0,20.7221,31.728
-1.16,-0.19,0,20.5267,31.92
-1.17,-0.19,0,20.3803,32.064
-1.18,-0.19,0,20.9113,32.224
-1.19,-0.19,0,19.9103,32.384
-1.2,-0.19,0,19.9713,32.592
-1.21,-0.19,0,19.8431,32.688
-1.22,-0.19,0,19.6661,32.928
-1.23,-0.19,0,19.6844,33.088
-1.24,-0.19,0,20.7099,33.28
-1.25,-0.19,0,20.9296,33.424
-1.26,-0.19,0,20.1971,33.6
-1.27,-0.19,0,19.7027,33.792
-1.28,-0.19,0,20.7587,33.952
-1.29,-0.19,0,21.0517,34.112
-1.3,-0.19,0,20.5817,34.288
-1.31,-0.19,0,19.6051,34.496
-1.32,-0.19,0,20.6122,34.656
-1.33,-0.19,0,20.4352,34.816
-1.34,-0.19,0,21.4301,34.928
-1.35,-0.19,0,20.8258,35.136
-1.36,-0.19,0,20.1483,35.344
-1.37,-0.19,0,20.661,35.456
-1.38,-0.19,0,19.892,35.68
-1.39,-0.19,0,20.6122,35.84
-1.4,-0.19,0,21.0211,36.016
-1.41,-0.19,0,20.4352,36.16
-1.42,-0.19,0,20.954,36.368
-1.43,-0.19,0,20.0201,36.528
-1.44,-0.19,0,21.5766,36.704
-1.45,-0.19,0,20.8136,36.848
-1.46,-0.19,0,20.4901,37.04
-1.47,-0.19,0,21.1859,37.2
-1.48,-0.19,0,20.1971,37.36
-1.49,-0.19,0,21.0822,37.536
-1.5,-0.19,0,20.8808,37.68
-1.51,-0.19,0,20.8441,37.888
-1.52,-0.19,0,20.4779,38.064
-1.53,-0.19,0,21.4911,38.16
-1.54,-0.19,0,21.0089,38.384
-1.55,-0.19,0,20.5084,38.576
-1.56,-0.19,0,21.0578,38.752
-1.57,-0.19,0,20.6977,38.928
-1.58,-0.19,0,20.7404,39.088
-1.59,-0.19,0,20.5756,39.232
-1.6,-0.19,0,21.0211,39.44
-1.61,-0.19,0,21.6987,39.632
-1.62,-0.19,0,20.246,39.728
-1.63,-0.19,0,20.6305,39.888
-1.64,-0.19,0,21.0334,40.096
-1.65,-0.19,0,21.4789,40.32
-1.66,-0.19,0,22.1015,40.464
-1.67,-0.19,0,21.2653,40.56
-1.68,-0.19,0,22.4128,40.816
-1.69,-0.19,0,20.716,40.96
-1.7,-0.19,0,21.2043,41.152
-1.71,-0.19,0,21.6926,41.28
-1.72,-0.19,0,20.7831,41.472
-1.73,-0.19,0,21.54,41.664
-1.74,-0.19,0,21.894,41.76
-1.75,-0.19,0,21.3874,41.952
-1.76,-0.19,0,21.6193,42.128
-1.77,-0.19,0,22.0466,42.336
-1.78,-0.19,0,21.2226,42.528
-1.79,-0.19,0,21.0822,42.704
-1.8,-0.19,0,21.9977,42.832
-1.81,-0.19,0,22.7973,43.056
-1.82,-0.19,0,21.5705,43.184
-1.83,-0.19,0,22.2846,43.296
-1.84,-0.19,0,21.1371,43.536
-1.85,-0.19,0,21.8207,43.712
-1.86,-0.19,0,21.2714,43.904
-1.87,-0.19,0,22.5166,44.032
-1.88,-0.19,0,21.9733,44.144
-1.89,-0.19,0,21.9489,44.4
-1.9,-0.19,0,22.5837,44.56
-1.91,-0.19,0,21.4301,44.752
-1.92,-0.19,0,22.7363,44.896
-1.93,-0.19,0,22.2358,45.04
-1.94,-0.19,0,22.3884,45.232
-1.95,-0.19,0,22.718,45.424
-1.96,-0.19,0,21.9123,45.584
-1.97,-0.19,0,21.717,45.744
-1.98,-0.19,0,22.4372,45.936
-1.99,-0.19,0,21.7597,46.048
-2,-0.19,0,21.7353,46.272
-2,-0.18,0,24.1951,46.24
-1.99,-0.18,0,24.4148,46.128
-1.98,-0.18,0,23.7922,45.888
-1.97,-0.18,0,24.3233,45.776
-1.96,-0.18,0,24.0852,45.52
-1.95,-0.18,0,23.8594,45.376
-1.94,-0.18,0,24.4148,45.184
-1.93,-0.18,0,24.0669,45.072
-1.92,-0.18,0,23.9753,44.864
-1.91,-0.18,0,23.7007,44.72
-1.9,-0.18,0,24.2561,44.624
-1.89,-0.18,0,24.1401,44.368
-1.88,-0.18,0,24.4697,44.16
-1.87,-0.18,0,23.6274,44.016
-1.86,-0.18,0,23.7983,43.84
-1.85,-0.18,0,24.2317,43.712
-1.84,-0.18,0,23.6213,43.552
-1.83,-0.18,0,24.6223,43.408
-1.82,-0.18,0,23.0842,43.152
-1.81,-0.18,0,23.2917,42.992
-1.8,-0.18,0,24.1829,42.88
-1.79,-0.18,0,23.5847,42.64
-1.78,-0.18,0,23.6763,42.464
-1.77,-0.18,0,23.9631,42.304
-1.76,-0.18,0,23.9143,42.128
-1.75,-0.18,0,23.7068,41.984
-1.74,-0.18,0,24.6956,41.84
-1.73,-0.18,0,22.5654,41.648
-1.72,-0.18,0,24.2317,41.44
-1.71,-0.18,0,23.4443,41.264
-1.7,-0.18,0,22.6386,41.12
-1.69,-0.18,0,23.249,40.928
-1.68,-0.18,0,23.31,40.784
-1.67,-0.18,0,23.3039,40.576
-1.66,-0.18,0,22.3579,40.384
-1.65,-0.18,0,23.7861,40.256
-1.64,-0.18,0,24.0547,40.08
-1.63,-0.18,0,22.895,39.904
-1.62,-0.18,0,22.5349,39.728
-1.61,-0.18,0,24.134,39.6
-1.6,-0.18,0,23.8533,39.392
-1.59,-0.18,0,23.1758,39.216
-1.58,-0.18,0,21.9306,39.072
-1.57,-0.18,0,23.5664,38.88
-1.56,-0.18,0,23.0415,38.72
-1.55,-0.18,0,22.1809,38.624
-1.54,-0.18,0,22.6264,38.352
-1.53,-0.18,0,21.9855,38.16
-1.52,-0.18,0,23.835,38.032
-1.51,-0.18,0,22.8217,37.872
-1.5,-0.18,0,22.7729,37.696
-1.49,-0.18,0,22.6203,37.504
-1.48,-0.18,0,21.9001,37.328
-1.47,-0.18,0,22.5288,37.184
-1.46,-0.18,0,22.0161,36.96
-1.45,-0.18,0,21.9306,36.816
-1.44,-0.18,0,22.9316,36.672
-1.43,-0.18,0,21.6926,36.496
-1.42,-0.18,0,22.6264,36.32
-1.41,-0.18,0,22.0893,36.176
-1.4,-0.18,0,22.1503,35.936
-1.39,-0.18,0,22.2297,35.808
-1.38,-0.18,0,21.8451,35.632
-1.37,-0.18,0,22.6753,35.44
-1.36,-0.18,0,21.894,35.264
-1.35,-0.18,0,21.717,35.104
-1.34,-0.18,0,21.1737,34.928
-1.33,-0.18,0,21.9123,34.832
-1.32,-0.18,0,21.6865,34.624
-1.31,-0.18,0,21.7902,34.416
-1.3,-0.18,0,22.718,34.272
-1.29,-0.18,0,21.5217,34.08
-1.28,-0.18,0,22.2297,33.968
-1.27,-0.18,0,22.1442,33.824
-1.26,-0.18,0,22.4311,33.536
-1.25,-0.18,0,21.5949,33.392
-1.24,-0.18,0,22.0038,33.216
-1.23,-0.18,0,23.3772,33.04
-1.22,-0.18,0,22.6447,32.944
-1.21,-0.18,0,21.7963,32.72
-1.2,-0.18,0,21.8879,32.56
-1.19,-0.18,0,21.4057,32.448
-1.18,-0.18,0,22.132,32.256
-1.17,-0.18,0,21.6376,32.016
-1.16,-0.18,0,21.6559,31.824
-1.15,-0.18,0,22.0099,31.712
-1.14,-0.18,0,21.2287,31.504
-1.13,-0.18,0,21.3813,31.344
-1.12,-0.18,0,21.8879,31.184
-1.11,-0.18,0,21.9245,31.104
-1.1,-0.18,0,21.7231,30.832
-1.09,-0.18,0,21.5033,30.656
-1.08,-0.18,0,21.7231,30.464
-1.07,-0.18,0,21.717,30.32
-1.06,-0.18,0,21.3691,30.144
-1.05,-0.18,0,21.6865,29.952
-1.04,-0.18,0,21.8085,29.792
-1.03,-0.18,0,22.1686,29.632
-1.02,-0.18,0,21.5217,29.552
-1.01,-0.18,0,21.6193,29.248
-1,-0.18,0,20.8319,29.12
-0.99,-0.18,0,21.778,28.912
-0.98,-0.18,0,21.7658,28.8
-0.97,-0.18,0,22.7729,28.608
-0.96,-0.18,0,21.7231,28.416
-0.95,-0.18,0,21.8451,28.304
-0.94,-0.18,0,22.4311,28.176
-0.93,-0.18,0,22.0161,27.904
-0.92,-0.18,0,21.8757,27.728
-0.91,-0.18,0,21.0456,27.664
-0.9,-0.18,0,22.132,27.392
-0.89,-0.18,0,20.9174,27.2
-0.88,-0.18,0,21.9977,27.056
-0.87,-0.18,0,21.0089,26.88
-0.86,-0.18,0,21.8207,26.72
-0.85,-0.18,0,21.4301,26.56
-0.84,-0.18,0,21.1921,26.384
-0.83,-0.18,0,22.1259,26.208
-0.82,-0.18,0,21.955,26.112
-0.81,-0.18,0,21.5949,25.856
-0.8,-0.18,0,21.9184,25.68
-0.79,-0.18,0,22.3823,25.616
-0.78,-0.18,0,21.9733,25.408
-0.77,-0.18,0,21.5094,25.152
-0.76,-0.18,0,21.1554,24.992
-0.75,-0.18,0,21.7719,24.832
-0.74,-0.18,0,21.7048,24.656
-0.73,-0.18,0,22.5471,24.56
-0.72,-0.18,0,21.3263,24.336
-0.71,-0.18,0,22.7729,24.144
-0.7,-0.18,0,21.7414,24
-0.69,-0.18,0,22.0649,23.792
-0.68,-0.18,0,20.6915,23.632
-0.67,-0.18,0,21.2043,23.44
-0.66,-0.18,0,21.2287,23.28
-0.65,-0.18,0,21.4362,23.168
-0.64,-0.18,0,21.955,22.96
-0.63,-0.18,0,21.3263,22.784
-0.62,-0.18,0,21.1493,22.592
-0.61,-0.18,0,21.2104,22.464
-0.6,-0.18,0,21.8207,22.384
-0.59,-0.18,0,21.8146,22.096
-0.58,-0.18,0,21.2287,21.936
-0.57,-0.18,0,21.6193,21.776
-0.56,-0.18,0,22.6814,21.568
-0.55,-0.18,0,21.6865,21.424
