X,Y,Z,Amp,Tof
0,0.13,-0.2,11.6031,12.352
0,0.1325,-0.2,11.8046,12.4
0,0.135,-0.2,12.7934,12.336
0,0.1375,-0.2,11.4017,12.352
0,0.14,-0.2,11.8717,12.352
0,0.1425,-0.2,10.651,12.368
0,0.145,-0.2,11.2735,12.384
0,0.1475,-0.2,10.6571,12.4
0,0.15,-0.2,9.66216,12.368
0,0.1525,-0.2,9.17386,12.416
0,0.155,-0.2,9.71709,12.432
0,0.1575,-0.2,10.5838,12.448
0,0.16,-0.2,9.69268,12.384
0,0.1625,-0.2,9.61943,12.416
0,0.165,-0.2,9.38749,12.448
0,0.1675,-0.2,9.47905,12.432
0,0.17,-0.2,8.7344,12.464
0,0.1725,-0.2,8.72219,12.432
0,0.175,-0.2,8.77712,12.448
0,0.1775,-0.2,8.86258,12.48
0,0.18,-0.2,8.5818,12.48
0,0.1825,-0.2,8.49025,12.48
0,0.185,-0.2,7.88598,12.448
0,0.1875,-0.2,7.02536,12.512
0,0.19,-0.2,7.40379,12.496
0,0.1925,-0.2,8.26441,12.512
0,0.195,-0.2,7.70287,13.872
0,0.1975,-0.2,7.11081,12.496
0,0.2,-0.2,7.46483,12.528
0,-0.2,-0.1975,7.47093,12.304
0,-0.1975,-0.1975,7.42821,13.68
0,-0.195,-0.1975,7.60521,12.272
0,-0.1925,-0.1975,6.70186,12.352
0,-0.19,-0.1975,7.17185,13.664
0,-0.1875,-0.1975,7.64794,12.288
0,-0.185,-0.1975,7.04367,12.288
0,-0.1825,-0.1975,7.76391,12.288
0,-0.18,-0.1975,8.70998,12.336
0,-0.1775,-0.1975,8.10572,12.288
0,-0.175,-0.1975,8.49025,12.272
0,-0.1725,-0.1975,8.21558,12.288
0,-0.17,-0.1975,7.89819,12.288
0,-0.1675,-0.1975,8.42311,12.272
0,-0.165,-0.1975,8.92972,12.224
0,-0.1625,-0.1975,8.55739,12.304
0,-0.16,-0.1975,9.18607,12.304
0,-0.1575,-0.1975,8.77712,12.288
0,-0.155,-0.1975,9.58892,12.272
0,-0.1525,-0.1975,9.62554,12.304
0,-0.15,-0.1975,10.065,12.272
0,-0.1475,-0.1975,10.3336,12.272
0,-0.145,-0.1975,10.1505,12.288
0,-0.1425,-0.1975,9.61333,12.272
0,-0.14,-0.1975,10.0528,12.256
0,-0.1375,-0.1975,9.75372,12.208
0,-0.135,-0.1975,11.2369,12.256
0,-0.1325,-0.1975,11.3651,12.224
0,-0.13,-0.1975,10.7791,12.224
0,-0.1275,-0.1975,11.6031,12.224
0,-0.125,-0.1975,11.2064,12.256
0,-0.1225,-0.1975,11.8107,12.224
0,-0.12,-0.1975,11.5238,12.224
0,-0.1175,-0.1975,11.3712,12.208
0,-0.115,-0.1975,12.2135,12.192
0,-0.1125,-0.1975,11.5421,12.192
0,-0.11,-0.1975,12.7201,12.192
0,-0.1075,-0.1975,12.3905,12.208
0,-0.105,-0.1975,12.714,12.192
0,-0.1025,-0.1975,12.8788,12.208
0,-0.1,-0.1975,12.7812,12.192
0,-0.0975,-0.1975,13.245,12.16
0,-0.095,-0.1975,13.184,12.144
0,-0.0925,-0.1975,13.2756,12.208
0,-0.09,-0.1975,13.5929,12.192
0,-0.0875,-0.1975,13.8554,12.192
0,-0.085,-0.1975,13.2633,12.208
0,-0.0825,-0.1975,14.5268,12.192
0,-0.08,-0.1975,14.3376,12.224
0,-0.0775,-0.1975,15.5217,12.208
0,-0.075,-0.1975,14.9602,12.208
0,-0.0725,-0.1975,15.656,12.16
0,-0.07,-0.1975,14.9236,12.16
0,-0.0675,-0.1975,15.0945,12.176
0,-0.065,-0.1975,14.6733,12.16
0,-0.0625,-0.1975,15.0212,12.192
0,-0.06,-0.1975,14.9297,12.16
0,-0.0575,-0.1975,15.5889,12.176
0,-0.055,-0.1975,16.4251,12.176
0,-0.0525,-0.1975,15.2593,12.192
0,-0.05,-0.1975,16.1016,12.192
0,-0.0475,-0.1975,16.6936,12.176
0,-0.045,-0.1975,16.4251,12.192
0,-0.0425,-0.1975,15.9307,12.192
0,-0.04,-0.1975,17.0171,12.176
0,-0.0375,-0.1975,16.3823,12.16
0,-0.035,-0.1975,16.4617,12.16
0,-0.0325,-0.1975,16.9866,12.176
0,-0.03,-0.1975,16.48,12.176
0,-0.0275,-0.1975,17.5115,12.192
0,-0.025,-0.1975,16.8828,12.16
0,-0.0225,-0.1975,17.7496,12.16
0,-0.02,-0.1975,17.0171,12.176
0,-0.0175,-0.1975,17.6458,12.192
0,-0.015,-0.1975,16.8523,12.16
0,-0.0125,-0.1975,16.7608,12.176
0,-0.01,-0.1975,17.1819,12.16
0,-0.0075,-0.1975,17.5604,12.176
0,-0.005,-0.1975,16.419,12.16
0,-0.0025,-0.1975,17.3467,12.16
0,0,-0.1975,17.188,12.16
0,0.0025,-0.1975,17.7129,12.176
0,0.005,-0.1975,17.8167,12.16
0,0.0075,-0.1975,17.5542,12.176
0,0.01,-0.1975,17.3162,12.192
0,0.0125,-0.1975,17.0293,12.208
0,0.015,-0.1975,16.8645,12.192
0,0.0175,-0.1975,17.2369,12.16
0,0.02,-0.1975,17.7068,12.208
0,0.0225,-0.1975,17.2735,12.192
0,0.025,-0.1975,16.9439,12.192
0,0.0275,-0.1975,17.5359,12.208
0,0.03,-0.1975,17.2613,12.224
0,0.0325,-0.1975,17.3711,12.192
0,0.035,-0.1975,17.4139,12.224
0,0.0375,-0.1975,16.9744,12.192
0,0.04,-0.1975,17.9693,12.208
0,0.0425,-0.1975,17.5909,12.208
0,0.045,-0.1975,17.3101,12.208
